"Select to activate","Select to activate"
"Only attributes which are used in product listing are shown","Only attributes which are used in product listing are shown"
"Transfer Shop Logo","Show Shop Logo"
"Product Information Properties,"Product Information Properties"
"Long Description","Long Description"
"Content for Description Property","Content for &quot;description&quot; Property"
"Attribute for Color Property","Attribute for &quot;color&quot; Property"
"Attribute for SKU Property","Attribute for &quot;sku&quot; Property"
"Attribute for ProductID Property","Attribute for &quot;productID&quot; Property"
"Attribute for Brand Property","Attribute for &quot;brand&quot; Property"
"Art.nr.:","Art.nr.:"
